CACode,VaCode,Estimate,ASE,Flag
C03D,V03C,5.7,1.5,
C03D,V03D,2.2,0.9,*
C03D,V04F,64,20.3,*
C03D,V05A,45.3,23.9,**
C03D,V06A,46.2,3.4,
C03D,V06B,41.2,3.3,
C03D,V06C,9.2,1.9,
C03D,V06D,3.5,1.2,*
C03D,V07A,68.3,15.9,
C03D,V08A,43.8,18.1,*
C03D,V09A,68.6,2.9,
C03D,V09B,29,2.9,
C03D,V09C,1.8,0.9,*
C03D,V09D,0.6,0.4,**
C03D,V10A,72,31.7,*
C03D,V11A,28,31.7,***
C03D,V12A,37.9,3.3,
C03D,V12B,28,3,
C03D,V12C,9.2,1.8,
C03D,V12D,24.9,3.4,
C03D,V13A,43.7,7.1,
C03D,V14A,14.2,4.8,*
C03D,V15A,41.1,7.4,
C03D,V16A,8.8,3.8,*
C03D,V17A,50.6,3.2,
C03D,V17B,49.4,3.2,
C03D,V18A,5.5,1.9,*
C03D,V18B,49.5,4.6,
C03D,V18C,29.7,4,
C03D,V18D,4.6,1.6,*
C03D,V18E,6.9,2,
C03D,V18F,3.7,1.7,*
C03D,V19A,75.9,3.2,
C03D,V19B,24.1,3.2,
C03D,V20A,26.5,3.6,
C03D,V20B,9.1,2.3,
C03D,V20C,5.7,1.7,
C03D,V20D,17.6,3,
C03D,V20E,5.6,1.8,*
C03D,V20F,28.3,3.8,
C03D,V20G,7.2,2,
C03D,V21A,81.8,2.9,
C03D,V21B,18.2,2.9,
C03D,V22A,4.3,1.6,*
C03D,V22B,8,2.1,
C03D,V22C,53.7,3.3,
C03D,V22D,5.4,1.5,
C03D,V22E,5.5,1.7,*
C03D,V22F,3.9,1.3,*
C03D,V22G,15.5,2.5,
C03D,V22H,3.6,1.6,*
C03D,V23A,73.5,3.1,
C03D,V23B,26.5,3.1,
C03D,V24A,8.5,2,
C03D,V24B,38.2,3.6,
C03D,V24C,15.3,2.9,
C03D,V24D,9.4,2.2,
C03D,V24E,12.9,2.5,
C03D,V24F,15.6,2.8,
C03D,V25A,75.6,3.3,
C03D,V25B,24.4,3.3,
C03D,V26A,5.8,2,*
C03D,V26B,5.4,1.7,*
C03D,V26C,22.2,3,
C03D,V26D,21.7,3.1,
C03D,V26E,28.1,3.6,
C03D,V26F,16.8,2.7,
C03D,V27A,23.3,2.2,
C03D,V27B,76.7,2.2,
C03D,V28A,52.9,3.7,
C03D,V29A,94.8,1.3,
C03D,V30A,87.3,2.2,
C03E,V00T,15,0,B
C03E,V01A,7.3,1.5,
C03E,V01B,12.5,2.1,
C03E,V01C,10,1.8,
C03E,V01D,19.6,2.4,
C03E,V01E,23.6,2.7,
